GoodreadsId,ISBN,Language,AverageRating,RatingsCount,Rating1Star,Rating2Star,Rating3Star,Rating4Star,Rating5Star
2767052,439023483,eng,4.34,4780653,66715,127936,560092,1481305,2706317
3,439554934,eng,4.44,4602479,75504,101676,455024,1156318,3011543
41865,316015849,en-US,3.57,3866839,456191,436802,793319,875073,1355439
2657,61120081,eng,4.25,3198671,60427,117415,446835,1001952,1714267
4671,743273567,eng,3.89,2683664,86236,197621,606158,936012,947718
11870085,525478817,eng,4.26,2346404,47994,92723,327550,698471,1311871
5907,618260307,en-US,4.25,2071616,46023,76784,288649,665635,1119718
5107,316769177,eng,3.79,2044241,109383,185520,455042,661516,709176
960,1416524797,en-CA,3.85,2001311,77841,145740,458429,716569,680175
1885,679783261,eng,4.24,2035490,54700,86485,284852,609755,1155673
77203,1594480001,eng,4.26,1813044,34288,59980,226062,628174,929591
13335037,62024035,eng,4.24,1903563,36315,82870,310297,673028,1114304
5470,451524934,eng,4.14,1956832,41845,86425,324874,692021,908229
7613,452284244,eng,3.87,1881700,66854,135147,433432,698642,648912
48855,553296981,eng,4.1,1972666,45225,91270,355756,656870,875372
2429135,307269752,eng,4.11,1808403,54835,86051,285413,667485,836050
6148028,439023491,eng,4.3,1831039,10492,48030,262010,687238,980309
5,043965548X,eng,4.53,1832823,6716,20413,166129,509447,1266670
34,618346252,eng,4.34,1766803,38031,55862,202332,493922,1042394
7260188,439023513,eng,4.03,1719760,30144,110498,373060,618271,738775
2,439358078,eng,4.46,1735368,9528,31577,180210,494427,1124806
12232938,316166685,eng,3.77,1605173,62777,131188,404699,583575,479323
15881,439064864,eng,4.37,1779331,8253,42251,242345,548266,1065084
6,439139600,eng,4.53,1753043,6676,20210,151785,494926,1195045
136251,545010225,eng,4.61,1746574,9363,22245,113646,383914,1318227
968,307277674,eng,3.79,1447148,71345,126493,340790,539277,479387
1,439785960,eng,4.54,1678823,7308,21516,136333,459028,1161491
7624,140283331,eng,3.64,1605019,92779,160295,425648,564916,427846
18135,743477111,eng,3.73,1628519,57980,153179,452673,519822,489235
8442457,297859382,eng,4.03,512475,38874,80807,280331,616031,610476
4667024,399155341,eng,4.45,1531753,10235,25117,134887,490754,942552
890,142000671,eng,3.84,1467496,46630,110856,355169,532291,473795
930,739326228,eng,4.08,1300209,23500,59033,258700,517157,559782
10818853,1612130291,eng,3.67,1338493,165455,152293,252185,294976,571909
865,61122416,eng,3.82,1299566,74846,123614,289143,412180,504212
3636,385732554,eng,4.12,1296825,26497,59652,225326,448691,585279
100915,60764899,eng,4.19,1531800,19309,55542,262038,513366,734629
14050,965818675,eng,3.95,746287,44339,85429,257805,427210,493884
13496,553588486,eng,4.45,1319204,19988,28983,114092,404583,874574
